filename,size_bytes,year,court,pillar_E,pillar_S,pillar_G,pillar_Sus,noise_hits,is_greenwash,is_sustainability,inferred_pillar
040-HarrisonvLocalOneInternationalUnionofElevatorConstructorsofNewY.md,53442,2025,2nd Cir,0,0,1,0,0,0,0,G
040-STATEOFMISSOURIPlaintiffvSTARBUCKSCORPDefendant.md,101575,2026,2nd Cir,1,4,1,1,0,0,1,S
040-WeberManufacturingTechnologiesIncvPlasanCarbonCompositesInc.md,42951,2016,Other,1,0,1,0,0,0,0,E
041-CleftoftheRockFoundationvWilson.md,46943,2026,2nd Cir,0,1,1,0,0,0,0,S
041-FalkvWest.md,13834,2026,Other,0,0,0,0,0,0,0,Non-ESG
041-NationalCenterforPublicPolicyResearchvSecuritiesandExchangeCommi.md,41896,2026,5th Cir,1,2,1,0,0,0,0,S
042-BucherandChristianConsultingIncvNovitexEnterpriseSolutionsInc.md,68717,2026,Other,0,1,1,0,0,0,0,S
042-HooksvLockheedMartinSkunkWorks.md,13540,2001,CD Cal,0,0,0,0,0,0,0,Non-ESG
042-RinconDelDiabloMunicipalWaterDistvSanDiegoCountyWaterAuthority.md,29345,2026,Other,1,0,0,0,0,0,0,E
043-AllianceforFairBoardRecruitmentvSecuritiesandExchangeCommission.md,123931,2026,2nd Cir,3,3,4,0,0,0,0,G
043-InreAttorneysWhoAreinViolationofJudiciaryLawSection468-a.md,128973,2006,SDNY,0,1,0,1,0,0,1,S
043-JoeHandPromotionsIncvSantana.md,29376,2026,ND Cal,0,0,0,0,0,0,0,Non-ESG
043-SimmonsvWest.md,5743,2026,Other,0,0,0,0,0,0,0,Non-ESG
044-SkeensvWest.md,10961,2026,Other,0,0,0,0,0,0,0,Non-ESG
045-BarnettvUS.md,281710,2026,Other,0,0,1,0,1,0,0,G
045-EvansvZBNA.md,21958,2019,9th Cir,0,1,2,0,0,0,0,G
045-WhaleCoIncvSheinTechnologyLLC.md,119295,2025,2nd Cir,0,1,1,0,5,0,0,S
046-CBSCorpvUS.md,43550,2026,Other,0,0,2,0,0,0,0,G
047-HandvWest.md,12070,2026,Other,0,0,0,0,0,0,0,Non-ESG
047-McCollumvTargetCorporation.md,9284,2025,Other,0,1,1,0,0,0,0,S
048-BattlevCorizonLLC.md,66050,2016,Other,0,1,0,0,0,0,0,S
048-WilsonvDerwinski.md,17007,2026,Other,0,0,0,0,0,0,0,Non-ESG
049-CohenvBrown.md,104399,2026,Other,0,0,0,0,0,0,0,Non-ESG
049-CountyofCookvIllinoisLaborRelationsBdLocalPanel.md,47683,2026,Other,1,2,0,0,0,0,0,S
049-LeevFisher.md,133131,2026,ND Cal,0,1,5,0,1,0,0,G
05-BoyervWest.md,13736,2026,Other,0,0,0,0,0,0,0,Non-ESG
05-DayvLSICorporation.md,13367,2013,Other,0,0,1,0,0,0,0,G
05-McGawMedicalCenterofNorthwesternUniversityvDepartmentofEmployment.md,23936,2026,Other,1,1,0,0,0,0,0,E
05-NationalAssnforAdvancementofColoredPeoplevMedicalCenterInc.md,70097,2026,2nd Cir,0,0,1,0,0,0,0,G
05-StichtingPensioenfondsMetaalenTechniekvVerizonCommunicationsInc.md,66321,2026,Other,1,3,2,1,0,0,1,S
050-EnvoIncvWalters.md,69003,2012,Del Ch,0,0,1,0,0,0,0,G
050-GorianvSpilker.md,14289,2024,Other,0,0,0,0,0,0,0,Non-ESG
050-InreTiktokIncMinorPrivacyLitigation.md,123948,2025,CD Cal,0,2,1,0,1,0,0,S
050-SPayIncvStackMediaInc.md,58870,2021,Del Ch,0,0,2,0,0,0,0,G
050-VolterraSemiconductorCorpvPrimarionInc.md,398163,2026,ND Cal,0,0,1,0,2,0,0,G
051-InterfaithCenteronCorporateResponsibilityvUnitedStatesSecuritiesa.md,144494,2026,DC Cir,1,1,4,0,0,0,0,G
052-StericycleIncvCarney.md,32320,2013,Other,0,0,1,0,0,0,0,G
053-EvansvAutoClubProperty-CasualtyInsCo.md,19485,2020,Other,0,0,0,0,0,0,0,Non-ESG
053-GMACvEliteSportsGroup.md,14306,2007,Other,0,0,0,0,0,0,0,Non-ESG
053-MeansvAmeriquestMortgCo.md,88200,2012,Other,0,0,2,0,0,0,0,G
054-BaivCMBExportInfrastructureInvestmentGroup48LP.md,98088,2025,9th Cir,0,0,2,0,0,0,0,G
054-MartinOilMarketingLtdvKatzioris.md,26931,2026,Other,0,0,0,0,0,0,0,Non-ESG
056-AgilysysIncvGordon.md,29391,2008,Other,0,0,1,0,0,0,0,G
057-PettusvEsgrow.md,22632,2009,2nd Cir,0,0,0,0,0,0,0,Non-ESG
058-StrasburgervBlackburneAndSonsRealtyCapitalCorp.md,31628,2020,CD Cal,0,0,3,0,0,0,0,G
058-USThrillridesLLCvIntaminAmusementRidesIntCorpEst.md,105247,2026,Other,0,1,1,0,2,0,0,S
059-BrightonTrusteesvTransamericaLifeInsuranceCompany.md,54407,2019,CD Cal,0,0,0,0,0,0,0,Non-ESG
059-CohenvSudlerAndHennesseyLLC.md,12910,2010,SDNY,0,1,0,0,0,0,0,S
059-EPAvPollutionControlBd.md,8127,2026,Other,1,0,0,0,0,0,0,E
059-InreVaxartIncSecuritiesLitigation.md,7412,2022,ND Cal,0,0,1,0,0,0,0,G
06-AmcorFlexiblesIncvIllinoisCommerceComn.md,42618,2015,Other,1,0,0,0,0,0,0,E
06-CarrollvWest.md,26142,2026,Other,0,0,0,0,0,0,0,Non-ESG
06-MayfieldvBrown.md,17325,2026,Other,0,0,0,0,0,0,0,Non-ESG
